timestamp,imu_data
1741258565.031719,GX:-19.54,GZ:5.76,ACC:-8.06
1741258565.0644674,GX:-13.08,GZ:1.72,ACC:-5.78
1741258565.0931568,GX:-12.85,GZ:7.82,ACC:-1.81
1741258565.1220336,GX:-30.67,GZ:2.96,ACC:-5.13
1741258565.154969,GX:-32.00,GZ:2.99,ACC:-4.93
1741258565.1834192,GX:-27.31,GZ:3.89,ACC:-5.38
1741258565.2160149,GX:-43.48,GZ:-0.69,ACC:-4.04
1741258565.2447271,GX:-39.46,GZ:8.18,ACC:-5.02
1741258565.2734103,GX:-25.40,GZ:8.79,ACC:-6.36
1741258565.3062189,GX:-26.76,GZ:4.63,ACC:-5.87
1741258565.3348696,GX:-20.92,GZ:9.44,ACC:-4.26
1741258565.3676283,GX:-20.24,GZ:5.72,ACC:-0.70
1741258565.3963304,GX:-30.44,GZ:4.40,ACC:-4.05
1741258565.4250143,GX:-31.96,GZ:8.53,ACC:-6.03
1741258565.4577801,GX:-35.76,GZ:0.87,ACC:-6.47
1741258565.4864318,GX:-26.85,GZ:5.72,ACC:-1.06
1741258565.5191605,GX:-21.30,GZ:-0.60,ACC:-2.52
1741258565.5481234,GX:-42.46,GZ:7.59,ACC:-3.86
1741258565.5766594,GX:-48.95,GZ:7.89,ACC:-6.11
1741258565.60928,GX:-19.63,GZ:5.92,ACC:-7.97
1741258565.6381662,GX:-11.38,GZ:3.98,ACC:-1.51
1741258565.670847,GX:-42.49,GZ:4.90,ACC:-1.83
1741258565.699532,GX:-44.02,GZ:15.91,ACC:-4.09
1741258565.7322552,GX:-27.82,GZ:7.89,ACC:-10.55
1741258565.760945,GX:-21.85,GZ:13.53,ACC:-6.69
1741258565.7935946,GX:-31.78,GZ:11.78,ACC:-9.25
1741258565.8222713,GX:-38.64,GZ:3.25,ACC:-7.76
1741258565.8551524,GX:-20.60,GZ:14.18,ACC:-8.85
1741258565.8838432,GX:-15.17,GZ:3.56,ACC:-7.65
1741258565.91647,GX:-14.94,GZ:4.83,ACC:-5.33
1741258565.9452798,GX:-18.46,GZ:7.29,ACC:-7.88
1741258565.977984,GX:-22.18,GZ:3.59,ACC:-10.42
1741258566.006752,GX:-20.42,GZ:6.96,ACC:-10.60
1741258566.0393846,GX:-11.87,GZ:2.73,ACC:-8.21
1741258566.0680451,GX:-26.77,GZ:8.25,ACC:-5.77
1741258566.1008346,GX:-41.74,GZ:15.46,ACC:-6.09
1741258566.1295762,GX:-30.27,GZ:7.74,ACC:-9.64
1741258566.1581094,GX:-9.83,GZ:9.83,ACC:-6.86
1741258566.1908233,GX:-14.37,GZ:14.36,ACC:-4.99
1741258566.2195268,GX:-33.98,GZ:10.14,ACC:-5.65
1741258566.2522547,GX:-36.29,GZ:9.10,ACC:-9.19
1741258566.280967,GX:-29.54,GZ:-5.84,ACC:-9.42
1741258566.313823,GX:-23.98,GZ:-0.67,ACC:-6.25
1741258566.3425307,GX:-29.53,GZ:0.03,ACC:-5.23
1741258566.375253,GX:-31.21,GZ:3.54,ACC:-7.04
1741258566.4039726,GX:-30.86,GZ:-2.84,ACC:-6.65
1741258566.4366586,GX:-29.18,GZ:3.85,ACC:-5.50
1741258566.465397,GX:-24.95,GZ:6.21,ACC:-0.97
1741258566.4980774,GX:-36.73,GZ:5.91,ACC:-2.18
1741258566.5267982,GX:-42.32,GZ:7.07,ACC:-5.58
1741258566.5555956,GX:-30.79,GZ:1.76,ACC:-7.10
1741258566.5880973,GX:-22.98,GZ:1.15,ACC:-4.36
1741258566.6167972,GX:-33.44,GZ:-9.18,ACC:-4.91
